#### 0738.921837 autosave nr 1
81,1558680745.898273,"[-1453, -371, 8180]"
82,1558680745.998296,"[-1243, -463, 8183]"
83,1558680746.098279,"[-1413, -458, 8170]"
84,1558680746.198294,"[-1441, -465, 8205]"
85,1558680746.298272,"[-1372, -522, 8160]"
86,1558680746.398286,"[-1532, -343, 8121]"
87,1558680746.498272,"[-1475, -305, 8104]"
88,1558680746.598292,"[-1549, -457, 8162]"
89,1558680746.698272,"[-1376, -381, 8211]"
90,1558680746.798288,"[-1436, -352, 8195]"
# autosave took 0.005088
#### 0747.921837 autosave nr 10
91,1558680746.898321,"[-1424, -458, 8151]"
92,1558680746.998297,"[-1237, -260, 8199]"
93,1558680747.098318,"[-1049, -592, 8174]"
94,1558680747.19829,"[-1212, -551, 8167]"
95,1558680747.298324,"[-1272, -697, 8188]"
96,1558680747.398708,"[-1222, -547, 8169]"
97,1558680747.498356,"[-1325, -637, 8186]"
98,1558680747.598735,"[-1208, -546, 8120]"
99,1558680747.698357,"[-1369, -493, 8147]"
100,1558680747.799112,"[-1438, -341, 8089]"
# autosave took 0.018906
#### 0748.921837 autosave nr 11
101,1558680747.898358,"[-1245, -430, 8120]"
102,1558680747.999253,"[-1505, -351, 8137]"
103,1558680748.098354,"[-1345, -424, 8182]"
104,1558680748.198884,"[-1395, -413, 8140]"
105,1558680748.298657,"[-1326, -458, 8148]"
106,1558680748.399541,"[-1299, -477, 8190]"
107,1558680748.499538,"[-1290, -578, 8138]"
108,1558680748.601353,"[-1317, -468, 8122]"
109,1558680748.701618,"[-1290, -553, 8152]"
110,1558680748.801918,"[-1281, -295, 8083]"
# autosave took 0.006347
#### 0749.921837 autosave nr 12
111,1558680748.898265,"[-1385, -487, 8139]"
112,1558680749.000044,"[-1269, -463, 8146]"
113,1558680749.101902,"[-1335, -536, 8122]"
114,1558680749.198594,"[-1295, -553, 8398]"
115,1558680749.298264,"[-1285, -280, 8142]"
116,1558680749.398278,"[-1394, -528, 8099]"
117,1558680749.498314,"[-1383, -432, 8149]"
118,1558680749.59828,"[-1460, -408, 8195]"
119,1558680749.698314,"[-1350, -422, 8173]"
120,1558680749.799215,"[-1453, -429, 8137]"
# autosave took 0.005190
#### 0750.921837 autosave nr 13
121,1558680749.898281,"[-1300, -448, 8173]"
122,1558680749.998288,"[-1383, -491, 8142]"
123,1558680750.098313,"[-1278, -533, 8152]"
124,1558680750.198289,"[-1232, -572, 8132]"
125,1558680750.298309,"[-1242, -552, 8158]"
126,1558680750.400789,"[-1290, -507, 8092]"
127,1558680750.498285,"[-1464, -523, 8146]"
128,1558680750.598288,"[-1335, -253, 8141]"
129,1558680750.698311,"[-1460, -406, 8176]"
130,1558680750.79828,"[-1332, -379, 8164]"
# autosave took 0.023143
#### 0751.921837 autosave nr 14
131,1558680750.898312,"[-1500, -453, 8142]"
132,1558680750.998283,"[-1391, -420, 8158]"
133,1558680751.098308,"[-1296, -602, 8130]"
134,1558680751.198277,"[-1366, -505, 8142]"
135,1558680751.298307,"[-1308, -765, 8163]"
136,1558680751.398271,"[-1483, -432, 8211]"
137,1558680751.498308,"[-1437, -362, 8138]"
138,1558680751.598281,"[-1508, -438, 8132]"
139,1558680751.698308,"[-1356, -362, 8168]"
140,1558680751.79828,"[-1373, -492, 8400]"
# autosave took 0.014982
#### 0752.921837 autosave nr 15
141,1558680751.898309,"[-1220, -596, 8097]"
142,1558680751.998287,"[-1316, -697, 8176]"
143,1558680752.09831,"[-1264, -413, 8167]"
144,1558680752.198285,"[-1334, -579, 8134]"
145,1558680752.298308,"[-1435, -412, 8141]"
146,1558680752.398342,"[-1364, -413, 8175]"
147,1558680752.498323,"[-1438, -414, 8195]"
148,1558680752.598281,"[-1291, -516, 8170]"
149,1558680752.69831,"[-1385, -505, 8124]"
150,1558680752.798279,"[-1275, -520, 8147]"
# autosave took 0.023546
#### 0753.921837 autosave nr 16
151,1558680752.898312,"[-1321, -546, 8148]"
152,1558680752.998285,"[-1310, -572, 8222]"
153,1558680753.098311,"[-1308, -628, 8138]"
154,1558680753.198277,"[-1397, -394, 8139]"
155,1558680753.298261,"[-1400, -351, 8117]"
156,1558680753.398281,"[-1536, -350, 8183]"
157,1558680753.49831,"[-1427, -489, 8163]"
158,1558680753.598283,"[-1385, -530, 8125]"
159,1558680753.698312,"[-1505, -513, 8154]"
160,1558680753.798281,"[-1335, -618, 8156]"
# autosave took 0.019467
#### 0754.921837 autosave nr 17
161,1558680753.898308,"[-1192, -524, 8215]"
162,1558680753.998285,"[-1338, -505, 8127]"
163,1558680754.098268,"[-1379, -478, 8417]"
164,1558680754.198281,"[-1386, -502, 8124]"
165,1558680754.298312,"[-1402, -384, 8141]"
166,1558680754.398281,"[-1418, -480, 8117]"
167,1558680754.498308,"[-1458, -372, 8188]"
168,1558680754.598284,"[-1323, -498, 8179]"
169,1558680754.698309,"[-1431, -467, 8103]"
170,1558680754.798897,"[-1035, -571, 8181]"
# autosave took 0.014660
#### 0755.921837 autosave nr 18
171,1558680754.898346,"[-1431, -531, 8156]"
172,1558680754.998284,"[-1407, -374, 8097]"
173,1558680755.098302,"[-1523, -251, 8096]"
174,1558680755.19828,"[-1321, -382, 8138]"
